"EQN_NO","LIFEFORM","SPP_CODE","SPP_TEXT","BIO_COMP","GEO_AREA","SER_STAG","LCL_EQUN","TAX_LIFE","PA1_CODE","PA1_TEXT","PA1_MIN","PA1_MAX","PA1_UNIT","PA2_CODE","PA2_TEXT","PA2_MIN","PA2_MAX","PA2_UNIT","PA3_CODE","PA3_TEXT","PA3_MIN","PA3_MAX","PA3_UNIT","DEP_VAR","DPV_MIN","DPV_MAX","DPV_UNIT","CF1","CF2","CF3","CF4","BPK_EQFM","EQN_TYPE","DPV_O","DPV_OMIN","DPV_OMAX","DPV_OUNIT","IP1_TEXT","IP1_MIN","IP1_MAX","IP1_UNIT","IP2_TEXT","IP2_MIN","IP2_MAX","IP2_UNIT","IP3_TEXT","IP3_MIN","IP3_MAX","IP3_UNIT","ORG_EQFM","SMP_SIZE","R_SQUARE","MS_ERROR","SEE","LOG_BIOC","RAW_DATA","SRC_EQN","SRC_DAT","MARK"
353,"T","PSME","Pseudotsuga menziesii (douglas fir)","BST","W","O","03","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","38.6","161.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","5.877232","2.1901",NA,NA,"ln(BST) =  5.877232 + 2.1901 * ln(DBH)",2,"Total stem biomass",NA,NA,"Mg","DBH","38.6","161.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BST) = -7.93828 + 2.1901 * ln(DBH)                                  and density = 0.449 g/cc","20","0.937","0.032731","0.180916","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4093",FALSE
354,"T","THPL","Thuja plicata (western redcedar)","BSW","W","O","03","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","31.2","95.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","3.704257","2.5203",NA,NA,"ln(BSW) =  3.704257 + 2.5203 * ln(DBH)",2,"Stem wood biomass",NA,NA,"Mg","DBH","31.2","95.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -10.1113 + 2.5203 * ln(DBH)                                  and density = 0.312 g/cc","12","0.916","0.092622","0.304338","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSW equation.  Joe Means converted it to BSW in grams.","4105",FALSE
355,"T","THPL","Thuja plicata (western redcedar)","BSB","W","O","03","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","31.2","95.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","5.919591","1.4302",NA,NA,"ln(BSB) = 5.919591 + 1.4302 * ln(DBH)",2,"Stem bark biomass",NA,NA,"Mg","DBH","31.2","95.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -7.89592 + 1.4302 * ln(DBH)                                  and density = 0.333 g/cc","12","0.692","0.144455","0.380073","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4117",FALSE
356,"T","THPL","Thuja plicata (western redcedar)","BST","W","O","03","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","31.2","95.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","4.250036","2.4117",NA,NA,"ln(BST) = 4.250036 + 2.4117 * ln(DBH)",2,"Total stem biomass",NA,NA,"Mg","DBH","31.2","95.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BST) = -9.56547 + 2.4117 * ln(DBH)                                  and density = 0.313 g/cc","12","0.918","0.0819","0.286182","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4129",FALSE
357,"T","TSHE","Tsuga heterophylla (western hemlock)","BSW","W","O","05","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","24.7","56.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","2.278515","3.0358",NA,NA,"ln(BSW) =  2.278515 + 3.0358 * ln(DBH)",2,"Stem wood biomass",NA,NA,"Mg","DBH","24.7","56.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -11.537 + 3.0358 * ln(DBH)                                   and density = 0.421 g/cc","15","0.906","0.042544","0.206263","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSW equation.  Joe Means converted it to BSW in grams.","4138",FALSE
358,"T","TSHE","Tsuga heterophylla (western hemlock)","BSB","W","O","05","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","24.7","56.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","0.779614","2.8795",NA,NA,"ln(BSB) = 0.779614 + 2.8795 * ln(DBH)",2,"Stem bark biomass",NA,NA,"Mg","DBH","24.7","56.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -13.0359 + 2.8795 * ln(DBH)                                  and density = 0.415 g/cc","15","0.861","0.0597","0.244336","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4150",FALSE
359,"T","TSHE","Tsuga heterophylla (western hemlock)","BST","W","O","04","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","24.7","56.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","2.45444","3.0203",NA,NA,"ln(BST) = 2.45444 + 3.0203 * ln(DBH)",2,"Total stem biomass",NA,NA,"Mg","DBH","24.7","56.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BST) = -11.3611 + 3.0203 * ln(DBH)                                  and density = 0.420 g/cc","15","0.916","0.037447","0.193513","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4162",FALSE
360,"T","ABAM","Abies amabilis (pacific silver fir)","BSW","W","M","02","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","13.3","80.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","3.078958","2.7623",NA,NA,"ln(BSW) =  3.078958 + 2.7623 * ln(DBH)",2,"Stem wood biomass",NA,NA,"Mg","DBH","13.3","80.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -10.7366 + 2.7623 * ln(DBH)                                  and density = 0.400 g/cc","68","0.973","0.038625","0.196531","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSW equation.  Joe Means converted it to BSW in grams.","4174",FALSE
361,"T","ABAM","Abies amabilis (pacific silver fir)","BSB","W","M","02","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","13.3","80.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","0.298659","3.0009",NA,NA,"ln(BSB) = 0.298659 + 3.0009 * ln(DBH)",2,"Stem bark biomass",NA,NA,"Mg","DBH","13.3","80.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -13.5169 + 3.0009 * ln(DBH)                                  and density = 0.570 g/cc","68","0.918","0.144641","0.380317","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4186",FALSE
362,"T","ABAM","Abies amabilis (pacific silver fir)","BST","W","M","02","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","13.3","80.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","3.167245","2.7763",NA,NA,"ln(BST) = 3.167245 + 2.7763 * ln(DBH)",2,"Total stem biomass",NA,NA,"Mg","DBH","13.3","80.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BST) = -10.6483 + 2.7763 * ln(DBH)                                  and density = 0.417 g/cc","68","0.977","0.033124","0.182","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4198",FALSE
363,"T","PSME","Pseudotsuga menziesii (douglas fir)","BSW","W","M","02","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","24.6","206.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","3.98298","2.5030",NA,NA,"ln(BSW) =  3.98298 + 2.5030 * ln(DBH)",2,"Stem wood biomass",NA,NA,"Mg","DBH","24.6","206.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -9.83253 + 2.5030 * ln(DBH)                                  and density = 0.452 g/cc","34","0.987","0.041761","0.204355","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSW equation.  Joe Means converted it to BSW in grams.","4210",FALSE
364,"T","PSME","Pseudotsuga menziesii (douglas fir)","BSB","W","M","02","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","24.6","206.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","1.589661","2.7023",NA,NA,"ln(BSB) = 1.589661 + 2.7023 * ln(DBH)",2,"Stem bark biomass",NA,NA,"Mg","DBH","24.6","206.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -12.2258 + 2.7023 * ln(DBH)                                  and density = 0.438 g/cc","34","0.958","0.166107","0.407562","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4222",FALSE
365,"T","PSME","Pseudotsuga menziesii (douglas fir)","BST","W","M","02","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","24.6","206.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","4.073402","2.5277",NA,NA,"ln(BST) = 4.073402 + 2.5277 * ln(DBH)",2,"Total stem biomass",NA,NA,"Mg","DBH","24.6","206.5","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BST) = -9.74211 + 2.5277 * ln(DBH)                                  and density = 0.449 g/cc","34","0.990","0.031747","0.178176","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4234",FALSE
366,"T","TSHE","Tsuga heterophylla (western hemlock)","BSW","W","M","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","15.3","134.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","3.412996","2.6648",NA,NA,"ln(BSW) =  3.412996 + 2.6648 * ln(DBH)",2,"Stem wood biomass",NA,NA,"Mg","DBH","15.3","134.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -10.4025 + 2.6648 * ln(DBH)                                  and density = 0.421 g/cc","21","0.976","0.067836","0.260454","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSW equation.  Joe Means converted it to BSW in grams.","4246",FALSE
367,"T","TSHE","Tsuga heterophylla (western hemlock)","BSB","W","M","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","15.3","134.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","0.787286","2.7876",NA,NA,"ln(BSB) = 0.787286 + 2.7876 * ln(DBH)",2,"Stem bark biomass",NA,NA,"Mg","DBH","15.3","134.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -13.0282 + 2.7876 * ln(DBH)                                  and density = 0.415 g/cc","21","0.963","0.11465","0.3386","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4258",FALSE
368,"T","TSHE","Tsuga heterophylla (western hemlock)","BST","W","M","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","15.3","134.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","3.483012","2.6741",NA,NA,"ln(BST) = 3.483012 + 2.6741 * ln(DBH)",2,"Total stem biomass",NA,NA,"Mg","DBH","15.3","134.7","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BST) = -10.3325 + 2.6741 * ln(DBH)                                  and density = 0.420 g/cc","21","0.978","0.063385","0.251764","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4270",FALSE
369,"T","PISI","Picea sitchensis (sitka spruce)","BSW","C","M","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","20.7","176.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass (without bark)",NA,NA,"g","3.905154","2.4995",NA,NA,"ln(BSW) = 3.905154 + 2.4995 * ln(DBH)",2,"Stem wood biomass",NA,NA,"Mg","DBH","20.7","176.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -9.91036 + 2.4995 * ln(DBH)                                  and density = 0.360 g/cc","27","0.933","0.147987","0.384691","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSW equation.  Joe Means converted it to BSW in grams.","4282",FALSE
370,"T","PISI","Picea sitchensis (sitka spruce)","BSB","C","M","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","20.7","176.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","3.200874","2.0887",NA,NA,"ln(BSB) =  3.200874 + 2.0887 * ln(DBH)",2,"Stem bark biomass",NA,NA,"Mg","DBH","20.7","176.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -10.6146 + 2.0887 * ln(DBH)                                  and density = 0.538 g/cc","27","0.907","0.147244","0.383724","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4293",FALSE
371,"T","PISI","Picea sitchensis (sitka spruce)","BST","C","M","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","20.7","176.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","4.085144","2.4765",NA,NA,"ln(BST) = 4.085144 + 2.4765 * ln(DBH)",2,"Total stem biomass",NA,NA,"Mg","DBH","20.7","176.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BST) = -9.73037 + 2.4765 * ln(DBH)                                  and density = 0.369 g/cc","27","0.934","0.144269","0.379828","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4304",FALSE
372,"T","TSHE","Tsuga heterophylla (western hemlock)","BSW","C","M","02","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","19.3","121.6","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","4.438266","2.4215",NA,NA,"ln(BSW) =  4.438266 + 2.4215 * ln(DBH)",2,"Stem wood biomass",NA,NA,"Mg","DBH","19.3","121.6","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -9.37724 + 2.4215 * ln(DBH)                                  and density = 0.421 g/cc","41","0.981","0.027214","0.164967","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSW equation.  Joe Means converted it to BSW in grams.","4316",FALSE
373,"T","TSHE","Tsuga heterophylla (western hemlock)","BSB","C","M","02","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","19.3","121.6","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","3.383997","2.0831",NA,NA,"ln(BSB) = 3.383997 + 2.0831 * ln(DBH)",2,"Stem bark biomass",NA,NA,"Mg","DBH","19.3","121.6","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -10.4315 + 2.0831 * ln(DBH)                                  and density = 0.415 g/cc","41","0.939","0.06745","0.259711","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4328",FALSE
374,"T","TSHE","Tsuga heterophylla (western hemlock)","BST","C","M","02","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","19.3","121.6","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","4.635161","2.3938",NA,NA,"ln(BST) = 4.635161 + 2.3938 * ln(DBH)",2,"Total stem biomass",NA,NA,"Mg","DBH","19.3","121.6","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BST) = -9.18035 + 2.3938 * ln(DBH)                                  and density = 0.420 g/cc","41","0.981","0.026622","0.163163","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4340",FALSE
375,"T","TSHE","Tsuga heterophylla (western hemlock)","BSW","C","M","03","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","27.5","73.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","3.544438","2.1130",NA,NA,"ln(BSW) =  3.544438 + 2.1130 * ln(DBH)",2,"Stem wood biomass",NA,NA,"Mg","DBH","27.5","73.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -10.2711 + 2.1130 * ln(DBH)                                  and density = 0.421 g/cc","31","0.884","0.037644","0.194019","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSW equation.  Joe Means converted it to BSW in grams.","4352",FALSE
376,"T","TSHE","Tsuga heterophylla (western hemlock)","BSB","C","M","03","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","27.5","73.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","5.418532","1.5855",NA,NA,"ln(BSB) = 5.418532 + 1.5855 * ln(DBH)",2,"Stem bark biomass",NA,NA,"Mg","DBH","27.5","73.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -8.39698 + 1.5855 * ln(DBH)                                  and density = 0.415 g/cc","31","0.589","0.113517","0.336922","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4363",FALSE
377,"T","TSHE","Tsuga heterophylla (western hemlock)","BST","C","M","03","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","27.5","73.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","6.096668","2.0696",NA,NA,"ln(BST) = 6.096668 + 2.0696 * ln(DBH)",2,"Total stem biomass",NA,NA,"Mg","DBH","27.5","73.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BST) = -7.71884 + 2.0696 * ln(DBH)                                  and density = 0.420 g/cc","31","0.878","0.038428","0.196032","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4374",FALSE
378,"T","ABCO","Abies concolor (white fir)","BSW","S","O","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","14.4","158.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","2.551192","2.7856",NA,NA,"ln(BSW) =  2.551192 + 2.7856 * ln(DBH)",2,"Stem wood biomass",NA,NA,"Mg","DBH","14.4","158.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -11.2643 + 2.7856 * ln(DBH)                                  and density = 0.365 g/cc","56","0.973","0.059506","0.243938","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSW equation.  Joe Means converted it to BSW in grams.","4385",FALSE
379,"T","ABCO","Abies concolor (white fir)","BSB","S","O","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","14.4","158.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","2.106921","2.7271",NA,NA,"ln(BSB) = 2.106921 + 2.7271 * ln(DBH)",2,"Stem bark biomass",NA,NA,"Mg","DBH","14.4","158.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -11.7086 + 2.7271 * ln(DBH)                                  and density = 0.590 g/cc","56","0.944","0.123883","0.35197","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4397",FALSE
380,"T","ABCO","Abies concolor (white fir)","BST","S","O","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","14.4","158.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","3.011904","2.7727",NA,NA,"ln(BST) = 3.011904 + 2.7727 * ln(DBH)",2,"Total stem biomass",NA,NA,"Mg","DBH","14.4","158.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BST) = -10.8036 + 2.7727 * ln(DBH)                                  and density = 0.419 g/cc","56","0.977","0.050556","0.224846","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4409",FALSE
381,"T","ABMA","Abies magnifica (california red fir)","BSW","S","O","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","18.8","143.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","2.646437","2.7621",NA,NA,"ln(BSW) =  2.646437 + 2.7621 * ln(DBH)",2,"Stem wood biomass",NA,NA,"Mg","DBH","18.8","143.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -11.1691 + 2.7621 * ln(DBH)                                  and density = 0.357 g/cc","31","0.984","0.036073","0.189928","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSW equation.  Joe Means converted it to BSW in grams.","4421",FALSE
382,"T","ABMA","Abies magnifica (california red fir)","BSB","S","O","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","18.8","143.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","1.47146","2.8421",NA,NA,"ln(BSB) =  1.47146 + 2.8421 * ln(DBH)",2,"Stem bark biomass",NA,NA,"Mg","DBH","18.8","143.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -12.3441 + 2.8421 * ln(DBH)                                  and density = 0.550 g/cc","31","0.957","0.108787","0.329829","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4433",FALSE
383,"T","ABMA","Abies magnifica (california red fir)","BST","S","O","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","18.8","143.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","3.020046","2.7590",NA,NA,"ln(BST) = 3.020046 + 2.7590 * ln(DBH)",2,"Total stem biomass",NA,NA,"Mg","DBH","18.8","143.2","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BST) = -10.7955 + 2.7590 * ln(DBH)                                  and density = 0.399 g/cc","31","0.987","0.029777","0.172561","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4445",FALSE
384,"T","CADE","Calocedrus decurrens (incense cedar)","BSW","S","O","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","25.0","143.9","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","1.992026","2.7334",NA,NA,"ln(BSW) =  1.992026 + 2.7334 * ln(DBH)",2,"Stem wood biomass",NA,NA,"Mg","DBH","25.0","143.9","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -11.8235 + 2.7334 * ln(DBH)                                  and density = 0.320 g/cc","25","0.960","0.089947","0.299911","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSW equation.  Joe Means converted it to BSW in grams.","4457",FALSE
385,"T","CADE","Calocedrus decurrens (incense cedar)","BSB","S","O","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","25.0","143.9","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","0.500948","2.8594",NA,NA,"ln(BSB) = 0.500948 + 2.8594 * ln(DBH)",2,"Stem bark biomass",NA,NA,"Mg","DBH","25.0","143.9","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -13.3146 + 2.8594 * ln(DBH)                                  and density = 0.250 g/cc","25","0.948","0.125386","0.354099","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4469",FALSE
386,"T","CADE","Calocedrus decurrens (incense cedar)","BST","S","O","01","T","DBH","Stem dia. @ breast ht. (1.37 m aboveground)","25.0","143.9","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","2.112422","2.7818",NA,NA,"ln(BST) = 2.112422 + 2.7818 * ln(DBH)",2,"Total stem biomass",NA,NA,"Mg","DBH","25.0","143.9","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BST) = -11.7031 + 2.7818 * ln(DBH)                                  and density = 0.297 g/cc","25","0.979","0.046456","0.215537","Y","TV009 Dendrometer program output in data bank, Forest Science Dept., Ore State Univ.","Mark Harmon, Forest Science Dept., Ore State Univ. fit the VSB equation.  Joe Means converted it to BSB in grams.","4481",FALSE
