"","BIOME","Species","GF","log.LL","log.LMA"
"488","GRASS/M","Avena barbata","G",NA,1.6
"489","GRASS/M","Avenula bromoides","G",0.41,1.8
"490","GRASS/M","Brachypodium distachyon","G",0.34,1.53
"491","GRASS/M","Brachypodium phoenicoides","G",0.57,1.81
"492","GRASS/M","Bromus erectus","G",0.45,1.73
"493","GRASS/M","Bromus hordeaceus","G",NA,1.55
"494","GRASS/M","Bromus lanceolatus","G",0.33,1.61
"495","GRASS/M","Bromus madritiensis","G",NA,1.45
"496","GRASS/M","Bupleurum rigidum","H",0.62,1.91
"497","GRASS/M","Buxus sempervirens","S",1.21,2.21
"498","GRASS/M","Calamintha nepeta","S",0.54,1.58
"499","GRASS/M","Carex hallerana","G",0.62,1.86
"500","GRASS/M","Catananche coerulea","H",0.47,1.8
"501","GRASS/M","Clematis vitalba","V",NA,1.71
"502","GRASS/M","Convolvulus arvensis","H",NA,1.58
"503","GRASS/M","Crataegus monogyna","S",NA,1.98
"504","GRASS/M","Crepis sancta","H",NA,1.49
"505","GRASS/M","Crepis vesicaria","H",NA,1.59
"506","GRASS/M","Dactylis glomerata","G",0.3,1.66
"507","GRASS/M","Daucus carota","H",0.44,1.75
"508","GRASS/M","Dorycnium hirsutum","H",0.52,1.68
"509","GRASS/M","Dorycnium pentaphyllum","H",NA,1.84
"510","GRASS/M","Echinops ritro","H",0.5,1.93
"511","GRASS/M","Eryngium campestre","H",0.39,1.99
"512","GRASS/M","Helianthemum nummularium","S",0.42,1.81
"513","GRASS/M","Hordeum murinum","G",NA,1.53
"514","GRASS/M","Juniperus oxycedrus","S",1.26,2.15
"515","GRASS/M","Kickxia spuria","H",NA,1.47
"516","GRASS/M","Lavandula latifolia","S",0.62,1.97
"517","GRASS/M","Lolium rigidum","G",NA,1.6
"518","GRASS/M","Lonicera etrusca","V",NA,1.82
"519","GRASS/M","Lotus corniculatus","H",NA,1.68
"520","GRASS/M","Medicago minima","H",0.36,1.66
"521","GRASS/M","Phillyrea latifolia","S",NA,2.04
"522","GRASS/M","Phleum pratense","G",0.31,1.61
"523","GRASS/M","Pistacia terebinthus","T",0.75,1.99
"524","GRASS/M","Plantago lanceloata","H",NA,1.78
"525","GRASS/M","Potentilla crantzii","H",0.59,1.91
"526","GRASS/M","Prunus mahaleb","S",0.63,1.89
"527","GRASS/M","Prunus spinosa","S",0.72,1.91
"528","GRASS/M","Psoralea bituminosa","S",NA,1.7
"529","GRASS/M","Quercus ilex","T",1.36,2.23
"530","GRASS/M","Quercus pubescens","T",0.83,2.04
"531","GRASS/M","Rosa micrantha","S",0.53,1.89
"532","GRASS/M","Rubia peregrina","S",NA,1.73
"533","GRASS/M","Rubus sp","S",NA,1.91
"534","GRASS/M","Ruscus aculeatus","S",NA,1.74
"535","GRASS/M","Sanguisorba minor","H",0.49,1.71
"536","GRASS/M","Scabiosa atropurpurea","H",NA,1.92
"537","GRASS/M","Stachys officinalis","H",NA,1.78
"538","GRASS/M","Teuchrium chamaedrys","S",0.72,1.89
"539","GRASS/M","Thymus vulgaris","S",0.77,1.9
"540","GRASS/M","Trifolium angustifolium","H",NA,1.66
"541","GRASS/M","Urospermum dalechampii","H",NA,1.62
"542","GRASS/M","Viburnum tinus","S",NA,1.92
"543","GRASS/M","Viola scotophylla","H",0.57,1.68
"544","GRASS/M","Vulpia ciliata","G",NA,1.42
"545","GRASS/M","Xeranthemum inapertum","H",0.27,1.45
"546","WLAND","Cistus monspeliensis","S",NA,2.13
"547","WLAND","Cneorum tricoccon","S",NA,2
"548","WLAND","Hypericum balearicum","S",NA,2.07
"549","WLAND","Phillyrea latifolia","S",NA,2.08
"550","WLAND","Pinus halepensis","T",NA,2.1
"551","WLAND","Pistacia lentiscus","S",NA,2.32
"552","WLAND","Rhamnus ludovici-salvatoris","S",NA,2.22
"553","WLAND","Urginea maritima","H",NA,2.04
"554","WLAND","Arbutus unedo","T",NA,2.22
"555","WLAND","Cistus albidus","S",NA,2.04
"556","WLAND","Cistus salvifolius","S",NA,2.13
"557","WLAND","Quercus coccifera","S",NA,2.23
"558","WLAND","Quercus Ilex","T",NA,2.29
"559","WLAND","Rhamnus alaternus","S",NA,2.18
"560","WLAND","Acer opalus","T",NA,1.75
"561","WLAND","Avenula crassifolia","H",NA,1.96
"562","WLAND","Capparis spinosa","S",NA,1.89
"563","WLAND","Cephalaria squamiflora","S",NA,2.06
"564","WLAND","Crepis triasii","H",NA,1.73
"565","WLAND","Delphinium pictium","H",NA,1.75
"566","WLAND","Dianthus rupicola","H",NA,2.06
"567","WLAND","Euphorbia margalidiana","S",NA,1.9
"568","WLAND","Globularia cambessedesii","S",NA,2.2
"569","WLAND","Ligusticum huteri","S",NA,1.6
"570","WLAND","Limonium migjornense","S",NA,2.03
"571","WLAND","Phlomis italica","S",NA,2.04
"572","WLAND","Pistacia terebinthus","S",NA,2.13
"573","WLAND","Pteridium aquilinum","F",NA,2.03
"574","WLAND","Silene mollisima","S",NA,1.84
"575","WLAND","Urtica atrovirens","H",NA,1.64
"576","WLAND","Viola jaubertiana","H",NA,1.72
"577","WLAND","Viola stolonifera","H",NA,1.59
"578","WLAND","Viola x balearica","H",NA,1.8
"579","WLAND","Amaranthus blitoides","H",NA,1.74
"580","WLAND","Amaranthus retroflexus","H",NA,1.77
"581","WLAND","Anagyris foetida","S",NA,1.98
"582","WLAND","Atriplex halimus","S",NA,1.94
"583","WLAND","Beta vulgaris","H",NA,1.71
"584","WLAND","Ceratonia siliqua","T",NA,2.4
"585","WLAND","Chenopodium album","H",NA,1.83
"586","WLAND","Cichorium intybus","H",NA,1.54
"587","WLAND","Convolvulus arvensis","H",NA,1.62
"588","WLAND","Datura stramonium","H",NA,1.68
"589","WLAND","Dittrichia viscosa","S",NA,1.73
"590","WLAND","Fraxinus angustifolia","T",NA,2.05
"591","WLAND","Helleborus lividus","S",NA,2.23
"592","WLAND","Helleborus foetidus","S",NA,2.23
"593","WLAND","Lavandula dentata","S",NA,1.9
"594","WLAND","Lavatera cretica","H",NA,1.68
"595","WLAND","Paeonia cambessedesii","H",NA,2.06
"596","WLAND","Populus alba","T",NA,1.96
"597","WLAND","Quercus humilis","T",NA,2.02
"598","WLAND","Verbascum sinuatum","H",NA,1.86
"599","WLAND","Vitex agnus-castus","S",NA,1.92
"600","TEMP_FOR","Castanopsis sieboldii","T",1.15,2.08
"601","TEMP_FOR","Quercus acuta","T",1.16,2.05
"602","TEMP_FOR","Camellia japonica","T",1.09,2.01
"603","TEMP_FOR","Cleyera japonica","T",0.89,2.02
"604","TEMP_FOR","Cinnamomum japonicum","T",1.38,2.05
"605","TEMP_FOR","Neolitsea sericea","T",1.2,1.98
"606","TEMP_FOR","Illicium anisatum","T",1.22,1.76
"607","TEMP_FOR","Maesa japonica","S",1.16,1.91
"608","TROP_RF","Boehmeria sp","S",NA,1.74
"609","TROP_RF","Syzygium sp1","T",NA,1.82
"610","TROP_RF","Macaranga triloba","T",NA,1.54
"611","TROP_RF","Parashorea malaanonan","T",NA,1.69
"612","TROP_RF","Shorea argentifolia","T",NA,1.67
"613","TROP_RF","Drimys piperita","S",NA,1.82
"614","TROP_RF","Syzygium confertum","T",NA,2.06
"615","TROP_RF","Macaranga sp","T",NA,1.82
"616","TROP_RF","Trigonobalanus verticillatus","T",NA,1.99
"617","TROP_RF","Tristaniopsis clementis","T",NA,2.1
"618","TEMP_RF","Drimys piperita","S",NA,2.07
"619","TEMP_RF","Syzygium houttuynii","T",NA,2.26
"620","TEMP_RF","Lithocarpus havilandii","T",NA,2.32
"621","TEMP_RF","Photinia davidiana","T",NA,2.17
"622","TEMP_RF","Schima brevifolia","T",NA,2.2
"623","TEMP_RF","Drimys piperita","S",NA,2.07
"624","TEMP_RF","Syzygium sp2","T",NA,2.26
"625","TEMP_RF","Photinia davidiana","T",NA,2.11
"626","TEMP_RF","Scolopia crassipes","T",NA,2.08
"627","TEMP_RF","Eugenia mabaeoides","T",NA,1.95
"628","TEMP_RF","Acronychia pedunculata","T",NA,2.01
"629","TEMP_RF","Actinodaphne ambigua","T",NA,2.18
"630","TEMP_RF","Allophylus varians","T",NA,1.94
"631","TEMP_RF","Michelia nilagirica","T",NA,1.92
"632","TEMP_FOR","Acer saccharum","T",NA,1.81
"633","TEMP_FOR","Carya glabra","T",NA,1.87
"634","TEMP_FOR","Fagus grandifolia","T",NA,1.83
"635","TEMP_FOR","Liriodendron tulipifera","T",NA,1.88
"636","TEMP_FOR","Quercus alba","T",NA,1.9
"637","TEMP_FOR","Quercus prinus","T",NA,1.94
"638","TEMP_FOR","Quercus rubra","T",NA,1.97
"639","TEMP_FOR","Quercus velutina","T",NA,2.02
"640","TEMP_FOR","Acer rubrum","T",NA,1.86
"641","TEMP_FOR","Acer saccharum","T",NA,1.77
"642","TEMP_FOR","Fagus grandfolia","T",NA,1.79
"643","TEMP_FOR","Populus grandidentata","T",NA,1.89
"644","TEMP_FOR","Quercus rubra","T",NA,2.04
"645","TROP_RF","Anacardium excelsum","T",0.93,1.92
"646","TROP_RF","Luehea seemannii","T",0.8,2.14
"647","TROP_RF","Castilla elastica","T",0.76,1.89
"648","TROP_RF","Antirrhoea trichantha","T",0.76,1.97
"649","TROP_RF","Urera caracasana","T",0.48,1.83
"650","TROP_RF","Cecropia longipes","T",0.46,2.06
"651","TEMP_FOR","Acer palmatum","T",NA,1.65
"652","TEMP_FOR","Acer mono","T",0.65,1.75
"653","TEMP_FOR","Carpinus cordata","T",NA,1.8
"654","TEMP_FOR","Cornus contraversa","T",0.63,1.8
"655","TEMP_FOR","Ostrya japonica","T",0.67,1.81
"656","TEMP_FOR","Populus sieboldii","T",0.55,1.83
"657","TEMP_FOR","Prunus ssiori","T",NA,1.86
"658","TEMP_FOR","Maackia amurensis","T",0.63,1.88
"659","TEMP_FOR","Juglans ailanthifolia","T",0.57,1.9
"660","TEMP_FOR","Cercidiphyllum japonicum","T",0.64,1.86
"661","TEMP_FOR","Sorbus commixta","T",0.71,1.87
"662","TEMP_FOR","Fraxinus madshurica","T",0.57,1.86
"663","TEMP_FOR","Kalopanax pictus","T",NA,1.88
"664","TEMP_FOR","Tilia japonica","T",NA,1.87
"665","TEMP_FOR","Betula maximowicziana","T",NA,1.86
"666","TEMP_FOR","Betula platyphylla","T",NA,1.86
"667","TEMP_FOR","Alnus hirsuta","T",0.52,1.89
"668","TEMP_FOR","Tilia maximowicziana","T",NA,1.91
"669","TEMP_FOR","Ulmus davidiana","T",NA,1.92
"670","TEMP_FOR","Prunus sargentii","T",NA,1.93
"671","TEMP_FOR","Sorbus alnifolia","T",NA,1.93
"672","TEMP_FOR","Magnolia obovata","T",0.62,1.91
"673","TEMP_FOR","Alnus japonica","T",NA,1.91
"674","TEMP_FOR","Betula ermanii","T",0.65,1.91
"675","TEMP_FOR","Fagus crenata","T",0.73,1.98
"676","TEMP_FOR","Quercus mongolica","T",0.72,1.96
"677","TEMP_FOR","Ulmus laciniata","T",0.55,1.98
"678","TEMP_FOR","Betula davurica","T",NA,1.98
"679","TEMP_FOR","Salix hultenii","T",NA,2.01
"680","TEMP_FOR","Populus maximowiczii","T",0.56,2.01
"681","TEMP_RF","Nothofagus menziesii","T",NA,2.18
"682","TEMP_RF","Griselinia littoralis","T",NA,2.03
"683","TEMP_RF","Gaultheria antipoda","S",NA,2.05
"684","TEMP_RF","Ranunculus hirtus","H",NA,1.78
"685","TUNDRA","Achillea millefolium","H",NA,1.69
"686","TUNDRA","Alnus incana","T",NA,1.86
"687","TUNDRA","Andromeda polifolia","S",1.17,2.11
"688","TUNDRA","Angelica sylvestris","H",NA,1.48
"689","TUNDRA","Anthriscus sylvestris","H",NA,1.37
"690","TUNDRA","Arctostaphylos alpina","S",0.47,1.93
"691","TUNDRA","Astragalus alpinus","H",NA,1.61
"692","TUNDRA","Astragalus frigidus","H",NA,1.67
"693","TUNDRA","Bartsia alpina","H",NA,1.86
"694","TUNDRA","Betula nana","S",0.48,1.91
"695","TUNDRA","Betula pubescens","T",NA,1.84
"696","TUNDRA","Calamagrostis lapponica","G",NA,1.59
"697","TUNDRA","Caltha palustris","H",NA,1.38
"698","TUNDRA","Carex capitata","G",NA,1.88
"699","TUNDRA","Carex rostrata","G",NA,1.84
"700","TUNDRA","Carex vaginata","G",NA,1.79
"701","TUNDRA","Cassiope tetragona","S",1.52,NA
"702","TUNDRA","Chamerion angustifolium","H",NA,1.82
"703","TUNDRA","Cornus suecica","H",NA,1.51
"704","TUNDRA","Deschampsia cespitosa","G",NA,1.74
"705","TUNDRA","Diphasiastrum complanatum","F",NA,NA
"706","TUNDRA","Drosera rotundifolia","H",NA,1.4
"707","TUNDRA","Dryas octopetala","S",0.44,1.97
"708","TUNDRA","Elytrigia repens","G",NA,1.62
"709","TUNDRA","Empetrum hermaphroditum","S",1.61,2.25
"710","TUNDRA","Empetrum nigrum","S",1.61,1.94
"711","TUNDRA","Equisetum sylvaticum","F",NA,1.61
"712","TUNDRA","Eriophorum angustifolium","G",NA,1.88
"713","TUNDRA","Euphrasia frigida","H",NA,1.49
"714","TUNDRA","Filipendula ulmaria","H",NA,1.55
"715","TUNDRA","Geranium sylvaticum","H",NA,1.66
"716","TUNDRA","Gymnocarpium dryopteris","H",NA,1.45
"717","TUNDRA","Juncus arcticus","G",NA,2.36
"718","TUNDRA","Juniperus communis","S",NA,2.22
"719","TUNDRA","Lathyrus pratensis","H",NA,1.53
"720","TUNDRA","Loiseleuria procumbens","S",1.57,2.4
"721","TUNDRA","Lycopodium annotinum","F",NA,NA
"722","TUNDRA","Matteuccia struthiopteris","F",NA,1.57
"723","TUNDRA","Melampyrum sylvaticum","H",NA,1.5
"724","TUNDRA","Orthilia secunda","H",NA,1.75
"725","TUNDRA","Pedicularis lapponica","H",0.32,1.79
"726","TUNDRA","Pedicularis sceptrum-carolinum","H",NA,1.81
"727","TUNDRA","Phyllodoce caerulea","S",1.45,2.08
"728","TUNDRA","Picea abies x obovata","T",NA,2.48
"729","TUNDRA","Pinguicula vulgaris","H",NA,1.22
"730","TUNDRA","Pinus sylvestris","T",NA,2.48
"731","TUNDRA","Polygonum viviparum","H",0.27,1.84
"732","TUNDRA","Populus tremula","T",NA,1.89
"733","TUNDRA","Rhinanthus minor","H",NA,1.82
"734","TUNDRA","Rhodiola rosea","H",NA,1.53
"735","TUNDRA","Rhododendron lapponicum","S",1.14,2.13
"736","TUNDRA","Ribes spicatum","S",NA,1.52
"737","TUNDRA","Rubus chamaemorus","H",NA,1.91
"738","TUNDRA","Rubus saxatilis","H",NA,1.48
"739","TUNDRA","Rumex obtusififolius","H",NA,1.6
"740","TUNDRA","Salix lapponum","S",NA,1.93
"741","TUNDRA","Salix myrsinites","S",0.47,2.07
"742","TUNDRA","Salix reticulata","S",0.51,2.1
"743","TUNDRA","Solidago virgaurea","H",NA,1.56
"744","TUNDRA","Sorbus aucuparia","T",NA,1.8
"745","TUNDRA","Tanacetum vulgare","H",NA,1.69
"746","TUNDRA","Trifolium pratense","H",NA,1.41
"747","TUNDRA","Vaccinium myrtillus","S",0.47,1.73
"748","TUNDRA","Vaccinium uliginosum","S",0.47,1.89
"749","TUNDRA","Vaccinium vitis-idaea","S",1.44,2.2
"750","TUNDRA","Viccia cracca","H",NA,1.44
"751","TUNDRA","Arctostaphylos alpina","S",0.39,1.98
"752","TUNDRA","Astragalus alpinus","H",NA,1.66
"753","TUNDRA","Astragalus frigidus","H",NA,1.67
"754","TUNDRA","Bartsia alpina","H",NA,1.9
"755","TUNDRA","Betula nana","S",0.32,1.91
"756","TUNDRA","Carex saxatilis","G",NA,1.79
"757","TUNDRA","Cassiope tetragona","S",1.59,2.13
"758","TUNDRA","Diapensia lapponica","S",1.63,2.2
"759","TUNDRA","Dryas octopetala","S",0.42,2.06
"760","TUNDRA","Empetrum hermaphroditum","S",1.62,2.19
"761","TUNDRA","Juncus trifidus","G",NA,1.76
"762","TUNDRA","Loiseleuria procumbens","S",1.72,2.36
"763","TUNDRA","Luzula multiflora","G",NA,1.53
"764","TUNDRA","Oxyria digyna","H",NA,1.79
"765","TUNDRA","Pedicularis hirsuta","H",NA,1.69
"766","TUNDRA","Pedicularis lapponica","H",0.35,1.96
"767","TUNDRA","Phleum alpinum","G",NA,1.62
"768","TUNDRA","Phyllodoce caerulea","S",1.53,2.11
"769","TUNDRA","Polygonum viviparum","H",0.24,1.94
"770","TUNDRA","Potentilla crantzii","H",0.34,1.91
"771","TUNDRA","Ranunculus nivalis","H",0.43,1.7
"772","TUNDRA","Rhododendron lapponicum","S",1.12,2.2
"773","TUNDRA","Rubus chamaemorus","H",NA,1.9
"774","TUNDRA","Salix herbacea","S",0.42,1.91
"775","TUNDRA","Salix myrsinites","S",NA,1.98
"776","TUNDRA","Salix polaris","S",0.4,1.92
"777","TUNDRA","Salix reticulata","S",0.44,2.04
"778","TUNDRA","Sibbaldia procumbens","H",0.2,1.8
"779","TUNDRA","Trollius europaeus","H",NA,1.56
"780","TUNDRA","Vaccinium myrtillus","S",0.34,1.86
"781","TUNDRA","Vaccinium uliginosum","S",0.35,1.9
"782","TUNDRA","Vaccinium vitis-idaea","S",1.57,2.39
"783","TUNDRA","Veronica alpina","H",NA,1.56
"784","TUNDRA","Cassiope tetragona","S",1.72,NA
"785","TUNDRA","Dryas octopetala","S",NA,2.07
"786","TUNDRA","Oxyria digyna","H",NA,1.85
"787","TUNDRA","Polygonum viviparum","H",NA,1.9
"788","TUNDRA","Salix polaris","S",NA,1.87
"789","WLAND","Rubus corylifolius","V",0.78,1.85
"790","WLAND","Prunus spinosa","S",0.76,1.95
"791","WLAND","Crataegus x macrocarpa","S",0.82,2.04
"792","WLAND","Acer campestre","T",0.79,1.98
"793","WLAND","Ribes uva crispa","S",0.91,1.81
"794","TROP_FOR","Aegle marmelos","T",NA,2.06
"795","TROP_FOR","Amoora rohitika","T",NA,1.61
"796","TROP_FOR","Annona squamosa","T",NA,1.74
"797","TROP_FOR","Anthocephalus cadamba","T",NA,2.06
"798","TROP_FOR","Artocarpus heterophyllus","T",NA,2.02
"799","TROP_FOR","Artocarpus lakoocha","T",NA,1.96
"800","TROP_FOR","Azadirachta indica","T",NA,1.9
"801","TROP_FOR","Bambusa bambos","T",NA,1.79
"802","TROP_FOR","Bauhinia variegata","T",NA,1.88
"803","TROP_FOR","Bombax ceiba","T",NA,2.06
"804","TROP_FOR","Bougainvellia spectabilis","S",NA,1.83
"805","TROP_FOR","Carissa carundu","S",NA,1.95
"806","TROP_FOR","Cassia fistula","T",NA,1.82
"807","TROP_FOR","Cordia dichotoma","T",NA,2.06
"808","TROP_FOR","Crescentia cujete","T",NA,1.83
"809","TROP_FOR","Dalbergia sissoo","T",NA,2.08
"810","TROP_FOR","Dillenia indica","T",NA,1.96
"811","TROP_FOR","Diospyros embryopteris","T",NA,2.01
"812","TROP_FOR","Eucalyptus globulus","T",NA,2.16
"813","TROP_FOR","Ficus benghalensis","T",NA,2.1
"814","TROP_FOR","Ficus carica","T",NA,1.93
"815","TROP_FOR","Ficus religiosa","T",NA,2.04
"816","TROP_FOR","Ficus rumphii","T",NA,1.9
"817","TROP_FOR","Gardenia jasminoides","S",NA,1.91
"818","TROP_FOR","Grewia asiatica","T",NA,2.01
"819","TROP_FOR","Hamelia patens","S",NA,1.82
"820","TROP_FOR","Hibiscus rosa-sinensis","S",NA,1.67
"821","TROP_FOR","Holoptelia integrifolia","T",NA,1.8
"822","TROP_FOR","Ixora alba","S",NA,1.92
"823","TROP_FOR","Ixora coccinea","S",NA,2.01
"824","TROP_FOR","Kigelia pinnata","T",NA,2.04
"825","TROP_FOR","Lagerstroemia speciosa","T",NA,1.94
"826","TROP_FOR","Litchi chinensis","T",NA,2.11
"827","TROP_FOR","Madhuca indica","T",NA,2.05
"828","TROP_FOR","Magnolia grandiflora","T",NA,2.19
"829","TROP_FOR","Mallotus phillippensis","T",NA,1.76
"830","TROP_FOR","Mangifera indica","T",NA,2.13
"831","TROP_FOR","Mimusops elengi","T",NA,2.1
"832","TROP_FOR","Mimusops hexendra","T",NA,2.09
"833","TROP_FOR","Mitragyna parviflora","T",NA,1.96
"834","TROP_FOR","Morus alba","T",NA,1.83
"835","TROP_FOR","Nyctanthes arbor-tristis","T",NA,1.99
"836","TROP_FOR","Polyalthia longifolia","T",NA,1.81
"837","TROP_FOR","Polyalthia pendulosa","T",NA,1.86
"838","TROP_FOR","Pongamia pinnata","T",NA,1.78
"839","TROP_FOR","Populus deltoides","T",NA,2.01
"840","TROP_FOR","Psidium guajava","T",NA,1.96
"841","TROP_FOR","Pterospermum acerifolia","T",NA,1.98
"842","TROP_FOR","Quisqualis indica","S",NA,1.61
"843","TROP_FOR","Sapindus mykorossi","T",NA,1.72
"844","TROP_FOR","Saraca indica","T",NA,1.95
"845","TROP_FOR","Schleichera oleosa","T",NA,1.91
"846","TROP_FOR","Semecarpus anacardium","T",NA,1.83
"847","TROP_FOR","Spathodea companulata","T",NA,2.02
"848","TROP_FOR","Spondias mangifera","T",NA,1.89
"849","TROP_FOR","Sterculia alata","T",NA,1.94
"850","TROP_FOR","Sterculia colorata","T",NA,1.95
"851","TROP_FOR","Strychnos nuxvomica","T",NA,1.9
"852","TROP_FOR","Swietinia mahogoni","T",NA,1.93
"853","TROP_FOR","Syzygium jambos","T",NA,2.06
"854","TROP_FOR","Tabernaemontana coronaria","S",NA,1.74
"855","TROP_FOR","Tectona grandis","T",NA,2.13
"856","TROP_FOR","Terminalia arjuna","T",NA,2.12
"857","TROP_FOR","Terminalia bellirica","T",NA,2.2
"858","TROP_FOR","Terminalia chebula","T",NA,1.87
"859","TROP_FOR","Thevetia paruviana","T",NA,1.86
"860","TROP_FOR","Woodfordia fruticosa","S",NA,2.04
"861","TROP_FOR","Ziziphus jujuba","T",NA,2.12
"862","TROP_FOR","Adina cordifolia","T",0.95,2.09
"863","TROP_FOR","Anogeissus latifolia","T",NA,2.16
"864","TROP_FOR","Bauhinia racemosa","T",NA,1.91
"865","TROP_FOR","Boswellia serrata","T",NA,2.1
"866","TROP_FOR","Bridelia retusa","T",NA,1.94
"867","TROP_FOR","Buchanania lanzan","T",1,2.06
"868","TROP_FOR","Butea monosperma","T",1.04,2.15
"869","TROP_FOR","Diospyros melanoxylon","T",1.04,2.08
"870","TROP_FOR","Ficus racemosa","T",0.85,1.96
"871","TROP_FOR","Gardenia latifolia","T",NA,1.94
"872","TROP_FOR","Hardwickia binata","T",NA,2.08
"873","TROP_FOR","Lagerstroemia parviflora","T",NA,2.11
"874","TROP_FOR","Lannea coromandelica","T",NA,1.91
"875","TROP_FOR","Miliusa tomentosa","T",NA,1.93
"876","TROP_FOR","Pterocarpus marsupium","T",NA,2.06
"877","TROP_FOR","Shorea robusta","T",1.11,1.99
"878","TROP_FOR","Soymida febrifuga","T",NA,2.13
"879","TROP_FOR","Syzygium cumini","T",1.11,2.13
"880","TROP_FOR","Terminalia alata","T",1,2.03
"881","TROP_FOR","Wrightia tomentosa","T",NA,1.82
"882","TROP_FOR","Xeromphis uliginosa","T",NA,1.92
"883","TROP_FOR","Ziziphus glaberrima","T",NA,2
"884","TEMP_FOR","Achillea millefolium","H",0,1.93
"885","TEMP_FOR","Agropyron repens","G",0.3,1.74
"886","TEMP_FOR","Amorpha canescens","S",NA,1.81
"887","TEMP_FOR","Andropogon gerardi","G",0,1.69
"888","TEMP_FOR","Anemone cylindrica","H",NA,1.79
"889","TEMP_FOR","Bromus inermis","G",0.3,1.75
"890","TEMP_FOR","Koeleria cristata","G",0,1.97
"891","TEMP_FOR","Lespedeza capitata","H",NA,1.8
"892","TEMP_FOR","Lupinus perennis","H",NA,1.73
"893","TEMP_FOR","Petalostemum villosum","H",NA,1.93
"894","TEMP_FOR","Schizachyrium scoparium","G",0,1.68
"895","TEMP_FOR","Solidago rigida","H",0.3,1.97
"896","TEMP_FOR","Sorghastrum nutans","G",0.3,1.74
"897","TEMP_FOR","Aextoxicon punctatum","T",1.73,2.1
"898","TEMP_FOR","Amomyrtus luma","T",1.62,2.15
"899","TEMP_FOR","Araucaria araucana","T",2.46,2.5
"900","TEMP_FOR","Drimys winteri","T",1.62,2.25
"901","TEMP_FOR","Embothrium coccineum","T",1.11,2.01
"902","TEMP_FOR","Eucryphia cordifolia","T",1.63,2.09
"903","TEMP_FOR","Laurelia philippiana","T",1.67,2.13
"904","TEMP_FOR","Myrceugenia planipes","T",1.65,2.04
"905","TEMP_FOR","Nothofagus betuloides","T",1.45,2.22
"906","TEMP_FOR","Nothofagus nitida","T",1.58,2.18
"907","TEMP_FOR","Ovidia pillo-pillo","T",1.4,1.99
"908","TEMP_FOR","Podocarpus nubigena","T",1.94,2.31
"909","TEMP_FOR","Podocarpus saligna","T",1.58,2.25
"910","TEMP_FOR","Saxegothaea conspicua","T",1.7,2.12
"911","TEMP_FOR","Weinmannia trichosperma","T",1.38,2.17
"912","TEMP_FOR","Cryptocarya alba","T",1.5,2.16
"913","TEMP_FOR","Drimys winteri","T",1.45,2.14
"914","TEMP_FOR","Eucryphia cordifolia","T",1.43,2.13
"915","TEMP_FOR","Luma apiculata","T",1.31,2.21
"916","TEMP_FOR","Nothofagus dombeyi","T",1.16,2.09
"917","TEMP_FOR","Podocarpus saligna","T",1.38,2.22
"918","TEMP_FOR","Austrocedrus chilensis","T",1.46,2.29
"919","TEMP_FOR","Lomatia hirsuta","T",1.38,2.09
"920","TEMP_FOR","Persea lingue","T",1.52,2.02
"921","TEMP_FOR","Podocarpus saligna","T",1.45,2.23
"922","TEMP_FOR","Prumnopitys andina","T",1.53,2.17
"923","TEMP_FOR","Aextoxicon punctatum","T",1.64,2.13
"924","TEMP_FOR","Dasyphyllum diacanthoides","T",1.2,2.12
"925","TEMP_FOR","Drimys winteri","T",1.56,2.26
"926","TEMP_FOR","Embothrium coccineum","T",0.85,2.01
"927","TEMP_FOR","Eucryphia cordifolia","T",1.53,2.12
"928","TEMP_FOR","Gevuina avellana","T",1.72,2.19
"929","TEMP_FOR","Laurelia philippiana","T",1.43,2.21
"930","TEMP_FOR","Luma apiculata","T",1.32,2.14
"931","TEMP_FOR","Myrceugenia planipes","T",1.56,2.12
"932","TEMP_FOR","Nothofagus dombeyi","T",1.3,2.13
"933","TEMP_FOR","Podocarpus nubigena","T",1.89,2.3
"934","TEMP_FOR","Saxegothaea conspicua","T",1.56,2.11
"935","TROP_FOR","Andira inermis","T",1.08,NA
"936","TROP_FOR","Cassia grandis","T",1.08,NA
"937","TROP_FOR","Licania arborea","T",1.11,NA
"938","TROP_FOR","Pithecellobium saman","T",1.06,NA
"939","TROP_FOR","Psidium guajava","T",1.11,NA
"940","TROP_FOR","Simarouba glauca","T",1.08,NA
"941","TROP_FOR","Jacquinia pungens","T",0.81,NA
"942","GRASS/M","Ambrosia psilostachya","H",NA,NA
"943","GRASS/M","Amorpha canescens","S",NA,NA
"944","GRASS/M","Andropogon gerardii","G",NA,NA
"945","GRASS/M","Artemisia ludoviciana","H",NA,NA
"946","GRASS/M","Asclepias virdaflora","H",NA,NA
"947","GRASS/M","Asclepias viridis","H",NA,NA
"948","GRASS/M","Aster oblongifolius","H",NA,NA
"949","GRASS/M","Callirhoe involucrata","H",NA,NA
"950","GRASS/M","Ceanothus herbacesous","S",NA,NA
"951","GRASS/M","Dichanthelium oligosanthe","G",NA,NA
"952","GRASS/M","Echinacea angustifolia","H",NA,NA
"953","GRASS/M","Kuhnia eupatorioides","H",NA,NA
"954","GRASS/M","Lespedeza capitata","H",NA,NA
"955","GRASS/M","Panicum virgatum","G",NA,NA
"956","GRASS/M","Physalis pumila","H",NA,NA
"957","GRASS/M","Poa pratensis","G",NA,NA
"958","GRASS/M","Psoralea tenuiflora","H",NA,NA
